pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-K85606544	neratinib	13	8	2	5	0.16167142528754014	0.4367034137248993	12.602955075667452	122.69809676726929	1	13	0.10271516354139075	0.6153846153846154
BRD-K73789395	ZM-336372	13	7	2	6	0.23674231538405788	0.2062000036239624	11.235089956116209	122.69809676726929	1	13	0.09156694563426399	0.5384615384615384
BRD-K64451768	GANT-58	13	6	2	7	0.1579944479923982	-0.1628854721784591	8.845078845632223	122.69809676726929	1	13	0.07208815033544774	0.46153846153846156
BRD-K19216856	epigallocatechin	13	7	2	6	-0.0010235126201922906	0.0524766892194747	8.062305474897347	122.69809676726929	1	13	0.06570848030503462	0.5384615384615384
BRD-A68631409	evodiamine	13	4	2	9	-0.3020440328579682	-0.8582475781440735	5.207036417042431	122.69809676726929	1	13	0.04243779287725227	0.3076923076923077
BRD-K61662457	CAY-10594	13	9	2	4	0.058684636767093935	0.2386500090360641	5.040968578524376	122.69809676726929	1	13	0.04108432576656801	0.6923076923076923
BRD-K68185022	ursolic-acid	13	7	2	6	0.11208713398529936	0.0370655357837677	3.613048922005846	122.69809676726929	1	13	0.02944665823838317	0.5384615384615384
BRD-A71390734	idarubicin	13	7	2	6	-0.008803495993980977	0.0255888700485229	3.1962808381055297	122.69809676726929	1	13	0.02604996265075045	0.5384615384615384
BRD-K59470558	BRD-K59470558	13	5	2	8	0.034242298167485474	-0.0499000027775764	1.5889593806696638	122.69809676726929	1	13	0.012950155076028298	0.38461538461538464
BRD-A36630025	SN-38	13	7	2	6	-0.01417268354159135	0.1193387657403945	0.9170835573971807	122.69809676726929	1	13	0.007474309557846542	0.5384615384615384
BRD-K93176058	AC-55649	13	6	2	7	0.06946078515969793	-0.2032339423894882	-0.7268980187571845	122.69809676726929	1	13	-0.0059242811250442345	0.46153846153846156
BRD-M86331534	pyrvinium-pamoate	13	6	2	7	0.06861596640485984	-0.2392700463533401	-1.6039286543764097	122.69809676726929	1	13	-0.013072155939131655	0.46153846153846156
BRD-K53792571	inhibitor-BEC	13	6	2	7	0.1461000052782206	-0.044649988412857	-1.794828413571881	122.69809676726929	1	13	-0.014628005330647198	0.46153846153846156
BRD-K41859756	NVP-AUY922	13	6	2	7	-0.07156291604042053	-0.3359194099903106	-2.4833519817103706	122.69809676726929	1	13	-0.020239531395672184	0.46153846153846156
BRD-K50590187	capsaicin	13	5	2	8	-0.12213462820419897	-0.1639499962329864	-2.9678414757757565	122.69809676726929	1	13	-0.024188162277733488	0.38461538461538464
BRD-A45889380	mepacrine	13	4	2	9	-0.10047964522471793	-0.2194051593542099	-2.976397456634464	122.69809676726929	1	13	-0.024257894254708947	0.3076923076923077
BRD-A12083771	BRD-A12083771	13	8	2	5	0.14352541932692894	0.2553126215934753	-4.097544821836252	122.69809676726929	1	13	-0.03339534132797816	0.6153846153846154
BRD-K81473043	tanespimycin	13	6	2	7	0.0817225701533831	-0.0005826950073242	-4.8415341705816255	122.69809676726929	1	13	-0.03945891825661263	0.46153846153846156
BRD-K19894101	MST-312	13	7	2	6	-0.00132306285489064	0.4808000028133392	-6.726796570754676	122.69809676726929	1	13	-0.05482396832539218	0.5384615384615384
BRD-K68065987	MK-2206	13	4	2	9	-0.11820755325830899	-0.5001434087753296	-7.010793033395085	122.69809676726929	1	13	-0.05713856382542741	0.3076923076923077
BRD-K98548675	parthenolide	13	6	2	7	-0.02053846648106205	-0.0755999982357025	-10.98418105951093	122.69809676726929	1	13	-0.08952201663197314	0.46153846153846156
BRD-K26664453	cytochalasin-b	13	6	2	7	0.011257694317744328	-0.3010500073432922	-11.906230087458255	122.69809676726929	1	13	-0.09703679520018714	0.46153846153846156
BRD-K19796430	sonidegib	13	7	2	6	0.09549614901726064	0.075200006365776	-12.270374738139076	122.69809676726929	1	13	-0.10000460529891689	0.5384615384615384
