pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-A05186015	bupropion	CASS4	0.14870834308385383	0.25125000372645445	12
BRD-A05186015	bupropion	CTSH	-0.5189749995867411	-0.679749995470047	12
BRD-A05186015	bupropion	EPHA1	-0.5158583354204893	-0.6656000018119812	12
BRD-A05186015	bupropion	GSTK1	-0.11683334968984127	-0.04244999960064888	12
BRD-A05186015	bupropion	PICALM	-0.19557500133911768	-0.04515000432729721	12
BRD-A05186015	bupropion	PLEKHA1	-0.2540833291908105	-0.09964999556541443	12
BRD-A05186015	bupropion	PSMC3	-0.310491681098938	-0.37345001101493835	12
BRD-A05186015	bupropion	RABEP1	-0.20442498847842216	-0.4798000007867813	12
BRD-A05186015	bupropion	RHOH	0.04344166716327891	0.05219999887049198	12
BRD-A05186015	bupropion	USP6NL	0.057741664350032806	0.16355000436306	12
BRD-A05186015	bupropion	ZYX	-0.25539166821787757	-0.5208999961614609	12
BRD-K93461745	buspirone	BIN1	-0.06644999235868454	-0.3297499865293503	12
BRD-K93461745	buspirone	CASP2	-0.44054168097985286	-0.22247500717639923	12
BRD-K93461745	buspirone	CASS4	0.1267833411693573	0.054475001990795135	12
BRD-K93461745	buspirone	CTSH	0.18001249867180982	0.14342499524354935	12
BRD-K93461745	buspirone	EPHA1	-0.3827458427598079	-0.19349998608231544	12
BRD-K93461745	buspirone	GSTK1	-0.2356708375737071	-0.3355749845504761	12
BRD-K93461745	buspirone	PICALM	-0.16947499910990396	-0.18675002455711365	12
BRD-K93461745	buspirone	PLEKHA1	-0.2840249960621198	-0.43207499384880066	12
BRD-K93461745	buspirone	PSMC3	-0.11190417905648549	-0.05182500183582306	12
BRD-K93461745	buspirone	RABEP1	0.3615333307534456	0.36112500727176666	12
BRD-K93461745	buspirone	RHOH	-0.04433750237027804	-0.11687500029802322	12
BRD-K93461745	buspirone	USP6NL	-0.5255958310638865	-0.16112498939037323	12
BRD-K93461745	buspirone	ZYX	-0.26877917100985843	-0.3487750142812729	12
BRD-K42417338	butorphanol-(+)-tartrate	BIN1	0.3302335037539403	0.15572433918714523	12
BRD-K42417338	butorphanol-(+)-tartrate	CASP2	0.30935556379457313	0.4953642785549164	12
BRD-K42417338	butorphanol-(+)-tartrate	CASS4	0.12549126520752907	0.17626289278268814	12
BRD-K42417338	butorphanol-(+)-tartrate	CTSH	0.02985490672290325	0.027339916676282883	12
BRD-K42417338	butorphanol-(+)-tartrate	EPHA1	-0.13772343719998995	0.08261719346046448	12
BRD-K42417338	butorphanol-(+)-tartrate	GSTK1	0.3032104050119718	0.6200631558895111	12
BRD-K42417338	butorphanol-(+)-tartrate	PICALM	-0.008218402663866678	0.0648944228887558	12
BRD-K42417338	butorphanol-(+)-tartrate	PLEKHA1	-0.14765359150866667	-0.01275656372308731	12
BRD-K42417338	butorphanol-(+)-tartrate	PSMC3	-0.21496963625152907	-0.18803366273641586	12
BRD-K42417338	butorphanol-(+)-tartrate	RABEP1	0.10059401392936707	0.07559728622436523	12
BRD-K42417338	butorphanol-(+)-tartrate	RHOH	0.3155951959391435	0.24934013187885284	12
BRD-K42417338	butorphanol-(+)-tartrate	USP6NL	0.23921839271982512	0.2551000043749809	12
BRD-K42417338	butorphanol-(+)-tartrate	ZYX	0.2064809507379929	0.22627376019954681	12
BRD-K06858286	cabazitaxel	BIN1	-0.1326908997514031	-0.15850000083446503	11
BRD-K06858286	cabazitaxel	CASP2	-0.9596545669165525	-1.1634000539779663	11
BRD-K06858286	cabazitaxel	CASS4	0.15717271935533395	0.1817999929189682	11
BRD-K06858286	cabazitaxel	CTSH	0.8400272835384716	0.7166000008583069	11
BRD-K06858286	cabazitaxel	EPHA1	0.48404545641758223	0.4814000129699707	11
BRD-K06858286	cabazitaxel	GSTK1	-0.9581636542623694	-1.0312000513076782	11
BRD-K06858286	cabazitaxel	PICALM	-0.3255090815099803	-0.0771000012755394	11
BRD-K06858286	cabazitaxel	PLEKHA1	-0.01671817018227144	-0.12030000239610672	11
BRD-K06858286	cabazitaxel	PSMC3	-0.11140000616962259	0.014499999582767487	11
BRD-K06858286	cabazitaxel	RABEP1	0.5131181729110804	0.13300000131130219	11
BRD-K06858286	cabazitaxel	RHOH	-0.13572727550159802	0.1468999981880188	11
BRD-K06858286	cabazitaxel	USP6NL	0.6485363624312661	0.7455999851226807	11
BRD-K06858286	cabazitaxel	ZYX	0.3625181879509579	0.47380000352859497	11
BRD-K86882815	cabergoline	BIN1	-0.6091696744163831	-0.5761091709136963	6
BRD-K86882815	cabergoline	CASP2	-0.42876314123471576	-0.6730582118034363	6
BRD-K86882815	cabergoline	CASS4	-0.4251858815550804	-0.6149085164070129	6
BRD-K86882815	cabergoline	CTSH	-0.11761604497830074	-0.22868100553750992	6
BRD-K86882815	cabergoline	EPHA1	-0.28163182487090427	-0.3350381925702095	6
