pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures	observed_release
BRD-K32536677	AGK-2	ZYX	0.2857827182326998	0.4180194735527038	7	CMap2020
BRD-K91495480	AGP-103	BIN1	-0.2614416802922885	-0.3240250200033188	12	CMap2020
BRD-K91495480	AGP-103	CASP2	-0.0008124932646751	-0.148499995470047	12	CMap2020
BRD-K91495480	AGP-103	CASS4	-0.0423666636149088	-0.0495500043034553	12	CMap2020
BRD-K91495480	AGP-103	CTSH	-0.2054416698714097	-0.2767000049352646	12	CMap2020
BRD-K91495480	AGP-103	EPHA1	0.1381583306938409	-0.0015750080347061	12	CMap2020
BRD-K91495480	AGP-103	GSTK1	0.1081541739404201	0.1188000068068504	12	CMap2020
BRD-K91495480	AGP-103	PICALM	0.2849750059346358	0.3110250234603882	12	CMap2020
BRD-K91495480	AGP-103	PLEKHA1	0.1398499937107165	0.2298999950289726	12	CMap2020
BRD-K91495480	AGP-103	PSMC3	0.255570829535524	0.0812000036239624	12	CMap2020
BRD-K91495480	AGP-103	RABEP1	-0.2571916710585356	0.0056499801576137	12	CMap2020
BRD-K91495480	AGP-103	RHOH	0.0559666628638903	0.0916500017046928	12	CMap2020
BRD-K91495480	AGP-103	USP6NL	-0.8015291405220827	0.0174500048160552	12	CMap2020
BRD-K91495480	AGP-103	ZYX	-0.1355333315829436	-0.3177499994635582	12	CMap2020
BRD-A67373739	AICA-ribonucleotide	BIN1	-0.1077837061423521	-0.2654500007629394	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	CASP2	0.0451330152841714	0.0384092032909393	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	CASS4	-0.215689840225073	-0.166949987411499	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	CTSH	0.2579887262903727	0.3483499884605407	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	EPHA1	0.3907861804159788	0.3411541581153869	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	GSTK1	0.2140533259281745	0.2110000103712082	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	PICALM	-0.0636581618052262	0.1782679855823516	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	PLEKHA1	-0.1206133101995174	-0.0395500063896179	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	PSMC3	-0.0488669929596094	-0.0935523062944412	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	RABEP1	-0.1181964963101423	0.092299997806549	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	RHOH	-0.0728901739303882	-0.0106196403503417	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	USP6NL	-0.055866125684518	-0.3648552894592285	13	CMap2020
BRD-A67373739	AICA-ribonucleotide	ZYX	0.2030285058113244	0.1690102070569992	13	CMap2020
BRD-K68191783	ALW-II-38-3	BIN1	-0.0244749983151753	-0.0386250019073486	6	CMap2020
BRD-K68191783	ALW-II-38-3	CASP2	0.6431250075499216	0.6988000273704529	6	CMap2020
BRD-K68191783	ALW-II-38-3	CASS4	-0.2998666738470395	-0.1729999929666519	6	CMap2020
BRD-K68191783	ALW-II-38-3	CTSH	-0.2754166672627131	-0.2837999910116195	6	CMap2020
BRD-K68191783	ALW-II-38-3	EPHA1	0.0053833400209744	-0.1865749880671501	6	CMap2020
BRD-K68191783	ALW-II-38-3	GSTK1	-0.7789250214894613	-0.891700029373169	6	CMap2020
BRD-K68191783	ALW-II-38-3	PICALM	-0.1668249915043513	-0.1223749965429306	6	CMap2020
BRD-K68191783	ALW-II-38-3	PLEKHA1	-0.5303833161791166	-0.5795499682426453	6	CMap2020
BRD-K68191783	ALW-II-38-3	PSMC3	0.5176000197728475	0.503575012087822	6	CMap2020
BRD-K68191783	ALW-II-38-3	RABEP1	-0.2436249889433384	-0.1748499982059002	6	CMap2020
BRD-K68191783	ALW-II-38-3	RHOH	-0.6450833355387052	-0.7479750365018845	6	CMap2020
BRD-K68191783	ALW-II-38-3	USP6NL	1.0053416738907497	0.3962250202894211	6	CMap2020
BRD-K68191783	ALW-II-38-3	ZYX	0.1445000047485033	-0.0552499964833259	6	CMap2020
BRD-K22096725	ALW-II-49-7	BIN1	0.1272428681453069	0.2702167779207229	6	CMap2020
BRD-K22096725	ALW-II-49-7	CASP2	0.6347078705827395	0.6645315885543823	6	CMap2020
BRD-K22096725	ALW-II-49-7	CASS4	0.0223059492806593	-0.033533502370119	6	CMap2020
BRD-K22096725	ALW-II-49-7	CTSH	-0.1030569300055503	-0.0221372246742248	6	CMap2020
BRD-K22096725	ALW-II-49-7	EPHA1	-0.5558635580042998	-0.2829440459609031	6	CMap2020
BRD-K22096725	ALW-II-49-7	GSTK1	-0.8117902825276057	-0.8494197428226471	6	CMap2020
BRD-K22096725	ALW-II-49-7	PICALM	0.7018141448497772	0.8675427138805389	6	CMap2020
BRD-K22096725	ALW-II-49-7	PLEKHA1	-0.497646947701772	-0.3983874469995498	6	CMap2020
BRD-K22096725	ALW-II-49-7	PSMC3	-0.0718130146463712	-0.1101745888590812	6	CMap2020
BRD-K22096725	ALW-II-49-7	RABEP1	0.0490640774369239	0.1166462525725364	6	CMap2020
