pert_id	pert_iname	n_genes	slope	slope_se	slope_z	p_protective	p_two_sided	sum_wx2	protective_slope	minus_log10_p_protective	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K73789395	ZM-336372	13.0	-0.12330933676478756	0.05590927416573922	-2.2055256235172265	0.013708615885612474	0.02741723177122495	319.91329707367873	0.12330933676478756	1.8630063922991837	Preclinical	RAF inhibitor	BRAF|LCK|MAPK14|RAF1	not annotated		Broad Repurposing Hub	
BRD-K77947974	fluspirilene	13.0	-0.14762993969006155	0.06724176922071949	-2.1955094489776115	0.014063536922550947	0.028127073845101894	221.16771774536608	0.14762993969006155	1.8519054422768335	Launched	dopamine receptor antagonist	CACNG1|DRD2|HRH1|HTR1A|HTR1D|HTR1E|HTR2A	neurology/psychiatry	schizophrenia	Broad Repurposing Hub	
BRD-K36927236	glibenclamide	13.0	-0.07310357356642494	0.03343810196117889	-2.18623573943572	0.014399181389670604	0.028798362779341207	894.3690555657726	0.07310357356642494	1.8416621973529796	Launched	ATP-sensitive potassium channel blocker; NLRP3 inflammasome inhibitor reported	ABCC8|KCNJ11; NLRP3 pathway	endocrinology/inflammation		manual: drug label/innate-immunity literature	Biologically interesting for myeloid inflammasome biology, but the current THP1 target-gene score is close to neutral.
BRD-K38985961	T-5345967	13.0	-0.17939964768745928	0.08343352219219706	-2.1502106464377126	0.015769278202024846	0.03153855640404969	143.65437073621638	0.17939964768745928	1.8021881849242205	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K06980535	promazine	13.0	-0.08441750837108102	0.039392112279315564	-2.143005375606829	0.016056333361855902	0.032112666723711804	644.4384757274606	0.08441750837108102	1.7943536235978286	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C	neurology/psychiatry	schizophrenia	Broad Repurposing Hub	
BRD-K57011718	UK-356618	13.0	-0.1777491466810509	0.08340625483295741	-2.1311249022874788	0.01653942684140072	0.03307885368280144	143.74831370561523	0.1777491466810509	1.7814795445978562	Preclinical	metalloproteinase inhibitor	MMP13|MMP14|MMP2|MMP3|MMP9	not annotated		Broad Repurposing Hub	
BRD-K67844266	pevonedistat	13.0	-0.09958234308539783	0.05253272417644637	-1.8956249584720124	0.02900482727591545	0.0580096545518309	362.3599199323455	0.09958234308539783	1.5375297164173862	Phase 3	nedd activating enzyme inhibitor	NAE1|UBA3	not annotated		Broad Repurposing Hub	
BRD-K89329876	BRD-K89329876	13.0	-0.14352995111578304	0.07698135363245387	-1.8644768420293607	0.031127385355211326	0.06225477071042265	168.74422283978387	0.14352995111578304	1.5068573577464468	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K32405725	etomoxir	13.0	-0.0673706295458177	0.03614559304901054	-1.863868423862032	0.031170091982884937	0.062340183965769874	765.4014675346771	0.0673706295458177	1.5062619161190403	Phase 2	carnitine palmitoyltransferase inhibitor	CPT1A	not annotated		Broad Repurposing Hub	
BRD-K06593056	LE-135	13.0	-0.12855757617288022	0.06898837758377149	-1.8634671617951124	0.03119828424112295	0.0623965684822459	210.11068405079948	0.12855757617288022	1.5058692894784138	Preclinical	retinoid receptor agonist	RARB	not annotated		Broad Repurposing Hub	
BRD-K85606544	neratinib	13.0	-0.07749681626107872	0.04469311993325208	-1.7339764235931177	0.04146113322825682	0.08292226645651364	500.63205563790973	0.07749681626107872	1.382358831811556	Launched	EGFR inhibitor	EGFR|ERBB2|KDR	oncology	breast cancer	Broad Repurposing Hub	
BRD-K85563610	APO-866	13.0	-0.13490935378022478	0.07984404178210755	-1.6896608784959701	0.045546425895013065	0.09109285179002613	156.86099789774346	0.13490935378022478	1.3415456971756021	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K01868942	RS-23597-190	13.0	-0.055176300447059214	0.03601104034006548	-1.5322051217073749	0.06273591253376007	0.12547182506752014	771.131890285129	0.055176300447059214	1.202483780535641	Preclinical	serotonin receptor antagonist	HTR4	not annotated		Broad Repurposing Hub	
BRD-A35588707	teniposide	13.0	-0.04698485428497907	0.0315205196312119	-1.4906116661368185	0.06803173981830943	0.13606347963661886	1006.4988039297075	0.04698485428497907	1.1672884224125095	Launched	topoisomerase inhibitor	TOP2A|TOP2B	hematologic malignancy	acute lymphoblastic leukemia (ALL)	Broad Repurposing Hub	
BRD-K56851771	enzalutamide	13.0	-0.12651452025289256	0.08625242396608393	-1.4667937947186325	0.07121607912585873	0.14243215825171746	134.41798539267756	0.12651452025289256	1.1474219405308752	Launched	androgen receptor antagonist	AR	oncology	prostate cancer	Broad Repurposing Hub	
BRD-K21614065	BRD-K21614065	13.0	-0.08735466214265558	0.060810971144020405	-1.4364951011186942	0.07543075466884995	0.1508615093376999	270.41832711972404	0.08735466214265558	1.1224515472372887	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K64890080	BI-2536	13.0	-0.062208861696402176	0.04427078403985588	-1.405189969990075	0.07998239794400043	0.15996479588800086	510.22950993460694	0.062208861696402176	1.0970055794693654	Phase 2	PLK inhibitor	BRD4|PLK1|PLK2|PLK3	not annotated		Broad Repurposing Hub	
BRD-K53414658	tivozanib	13.0	-0.04331275912944433	0.03160379312534104	-1.3704924265788407	0.0852666189538022	0.1705332379076044	1001.2017024461331	0.04331275912944433	1.0692209575962557	Launched	VEGFR inhibitor	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB	oncology	renal cell carcinoma (RCC)	Broad Repurposing Hub	
BRD-K33583600	isoliquiritigenin	13.0	-0.1098502310500928	0.08083057576541434	-1.3590182923959244	0.08707039614072981	0.17414079228145962	153.05539951595063	0.1098502310500928	1.0601294796436067	Preclinical	guanylate cyclase activator	GABBR1	not annotated		Broad Repurposing Hub	
BRD-K32536677	AGK-2	13.0	-0.07514540003649448	0.05784411197713611	-1.2991019737012646	0.09695446793257906	0.19390893586515812	298.8695596250107	0.07514540003649448	1.013432172621847	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K19894101	MST-312	13.0	-0.04223364802077281	0.037103007393925656	-1.1382809908742633	0.12750158446986112	0.25500316893972225	726.4099331225218	0.04223364802077281	0.8944844181928361	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K49010888	BRD-K49010888	13.0	-0.16983112058014363	0.1532915089870366	-1.1078964627747627	0.13395326670637592	0.26790653341275183	42.55629406499388	0.16983112058014363	0.8730466908258065	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K93176058	AC-55649	13.0	-0.04772296640481535	0.04375257593879188	-1.090746439057163	0.13769223513551804	0.2753844702710361	522.3874628949359	0.04772296640481535	0.861090550177939	Preclinical	retinoid receptor agonist	RARA|RARB	not annotated		Broad Repurposing Hub	
BRD-K77432048	BRD-K77432048	13.0	-0.0671246131763448	0.06971876185273972	-0.962791240012634	0.16782614885507163	0.33565229771014327	205.73144118416712	0.0671246131763448	0.7751403711669635	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K02113016	olaparib	13.0	-0.062296051701384025	0.0660546316603222	-0.94309891881214	0.17281515436166955	0.3456303087233391	229.18883112895554	0.062296051701384025	0.7624181763995233	Launched	PARP inhibitor	PARP1|PARP2	oncology	ovarian cancer	Broad Repurposing Hub	
BRD-K10705233	GW-405833	13.0	-0.03921606171317708	0.04254687680551353	-0.9217142281074597	0.17833882851886584	0.3566776570377317	552.4139388459645	0.03921606171317708	0.7487540905003863	Preclinical	cannabinoid receptor agonist	CNR2	not annotated		Broad Repurposing Hub	
BRD-A91699651	chloroquine	13.0	-0.0604054477060308	0.06767154544619033	-0.8926269868339679	0.18602848109151898	0.37205696218303796	218.36740364784947	0.0604054477060308	0.7304205599005149	Launched	antimalarial agent	MRGPRX1	infectious disease	malaria|amebiasis	Broad Repurposing Hub	
